Image,Occlusion,Human,ViT,ResNet,all_correct,all_wrong
Aircraft1_10%_16.jpg,10%,1,0,1,0,0
Aircraft1_10%_22.jpg,10%,1,1,0,0,0
Aircraft1_10%_26.jpg,10%,1,1,0,0,0
Aircraft1_10%_28.jpg,10%,1,1,0,0,0
Aircraft1_10%_35.jpg,10%,1,0,0,0,0
Aircraft1_10%_44.jpg,10%,1,1,1,1,0
Aircraft1_10%_48.jpg,10%,1,1,0,0,0
Aircraft1_10%_9.jpg,10%,1,1,0,0,0
Aircraft2_10%_15.jpg,10%,1,0,0,0,0
Aircraft2_10%_20.jpg,10%,1,0,1,0,0
Aircraft2_10%_22.jpg,10%,1,1,1,1,0
Aircraft2_10%_29.jpg,10%,1,1,0,0,0
Aircraft2_10%_35.jpg,10%,1,0,0,0,0
Aircraft2_10%_38.jpg,10%,1,0,1,0,0
Aircraft2_10%_41.jpg,10%,1,0,1,0,0
Aircraft2_10%_48.jpg,10%,1,0,1,0,0
Aircraft1_70%_10.jpg,70%,1,0,1,0,0
Aircraft1_70%_15.jpg,70%,1,0,0,0,0
Aircraft1_70%_16.jpg,70%,1,1,1,1,0
Aircraft1_70%_17.jpg,70%,1,1,1,1,0
Aircraft1_70%_27.jpg,70%,1,0,1,0,0
Aircraft1_70%_32.jpg,70%,1,0,1,0,0
Aircraft1_70%_34.jpg,70%,1,1,1,1,0
Aircraft1_70%_49.jpg,70%,1,1,1,1,0
Aircraft2_70%_10.jpg,70%,1,0,0,0,0
Aircraft2_70%_11.jpg,70%,1,1,0,0,0
Aircraft2_70%_24.jpg,70%,1,0,0,0,0
Aircraft2_70%_3.jpg,70%,1,0,0,0,0
Aircraft2_70%_34.jpg,70%,1,0,0,0,0
Aircraft2_70%_42.jpg,70%,1,1,0,0,0
Aircraft2_70%_50.jpg,70%,1,1,0,0,0
Aircraft2_70%_9.jpg,70%,1,1,0,0,0
Aircraft1_90%_16.jpg,90%,1,0,1,0,0
Aircraft1_90%_24.jpg,90%,1,0,1,0,0
Aircraft1_90%_39.jpg,90%,1,0,1,0,0
Aircraft1_90%_40.jpg,90%,0,0,1,0,0
Aircraft1_90%_44.jpg,90%,0,1,1,0,0
Aircraft1_90%_47.jpg,90%,0,0,1,0,0
Aircraft1_90%_7.jpg,90%,1,0,1,0,0
Aircraft2_90%_1.jpg,90%,1,1,0,0,0
Aircraft2_90%_19.jpg,90%,0,1,0,0,0
Aircraft2_90%_25.jpg,90%,0,1,0,0,0
Aircraft2_90%_39.jpg,90%,1,1,0,0,0
Aircraft2_90%_44.jpg,90%,1,1,0,0,0
Aircraft2_90%_45.jpg,90%,0,1,0,0,0
Aircraft2_90%_46.jpg,90%,1,1,0,0,0
Aircraft2_90%_7.jpg,90%,1,1,0,0,0
